city,strategy,scenario,pct,seed,flood_reduction,mean_hm,food_mln_lbs,carbon_tons_co2_yr,runoff_acre_feet,elapsed_s,saturated
"Minneapolis, MN",random,all_gi,10,0,27.33,0.22280000150203705,0.0,1172.9,296.3,0.028,False
"Minneapolis, MN",random,all_gi,10,1,27.32,0.22269999980926514,0.0,1172.9,296.6,0.028,False
"Minneapolis, MN",random,all_gi,10,2,27.32,0.2224999964237213,0.0,1172.9,296.6,0.027,False
"Minneapolis, MN",random,all_gi,10,3,27.31,0.2224999964237213,0.0,1172.9,296.9,0.027,False
"Minneapolis, MN",random,all_gi,10,4,27.33,0.22280000150203705,0.0,1172.9,296.3,0.027,False
"Minneapolis, MN",random,all_gi,10,5,27.33,0.2224999964237213,0.0,1172.9,296.3,0.029,False
"Minneapolis, MN",random,all_gi,10,6,27.33,0.22269999980926514,0.0,1172.9,296.3,0.029,False
"Minneapolis, MN",random,all_gi,10,7,27.33,0.22269999980926514,0.0,1172.9,296.3,0.028,False
"Minneapolis, MN",random,all_gi,10,8,27.33,0.22259999811649323,0.0,1172.9,296.3,0.027,False
"Minneapolis, MN",random,all_gi,10,9,27.32,0.2224999964237213,0.0,1172.9,296.6,0.027,False
"Minneapolis, MN",random,all_gi,25,0,31.8,0.27000001072883606,0.0,2932.6,189.5,0.026,False
"Minneapolis, MN",random,all_gi,25,1,31.81,0.2700999975204468,0.0,2932.6,189.3,0.027,False
"Minneapolis, MN",random,all_gi,25,2,31.81,0.26980000734329224,0.0,2932.6,189.3,0.028,False
"Minneapolis, MN",random,all_gi,25,3,31.8,0.26980000734329224,0.0,2932.6,189.5,0.028,False
"Minneapolis, MN",random,all_gi,25,4,31.81,0.2700999975204468,0.0,2932.6,189.3,0.027,False
"Minneapolis, MN",random,all_gi,25,5,31.81,0.26969999074935913,0.0,2932.6,189.3,0.028,False
"Minneapolis, MN",random,all_gi,25,6,31.81,0.2700999975204468,0.0,2932.6,189.3,0.027,False
"Minneapolis, MN",random,all_gi,25,7,31.82,0.26989999413490295,0.0,2932.6,189.1,0.027,False
"Minneapolis, MN",random,all_gi,25,8,31.82,0.2700999975204468,0.0,2932.6,189.1,0.027,False
"Minneapolis, MN",random,all_gi,25,9,31.82,0.26989999413490295,0.0,2932.6,189.1,0.027,False
"Minneapolis, MN",random,all_gi,50,0,39.27,0.36500000953674316,0.0,5865.1,66.4,0.028,False
"Minneapolis, MN",random,all_gi,50,1,39.28,0.365200012922287,0.0,5865.1,66.2,0.028,False
"Minneapolis, MN",random,all_gi,50,2,39.29,0.36489999294281006,0.0,5865.1,66.1,0.029,False
"Minneapolis, MN",random,all_gi,50,3,39.28,0.36480000615119934,0.0,5865.1,66.2,0.028,False
"Minneapolis, MN",random,all_gi,50,4,39.28,0.36489999294281006,0.0,5865.1,66.2,0.028,False
