lucode,lulc_desc,CN_A,CN_B,CN_C,CN_D
11,Open Water,100.0,100.0,100.0,100.0
12,Perennial Ice/Snow,40.0,40.0,40.0,40.0
211,"Developed, Open Space",49.0,69.0,79.0,84.0
212,"Developed, Open Space",46.7,66.3,76.6,81.9
213,"Developed, Open Space",44.5,63.7,74.4,79.9
221,"Developed, Low Intensity",77.0,86.0,91.0,94.0
222,"Developed, Low Intensity",69.9,80.4,86.6,90.2
223,"Developed, Low Intensity",63.3,75.1,82.4,86.6
231,"Developed, Medium Intensity",89.0,92.0,94.0,95.0
232,"Developed, Medium Intensity",79.9,85.4,89.1,91.0
233,"Developed, Medium Intensity",71.3,79.1,84.4,87.2
241,Developed High Intensity,98.0,98.0,98.0,98.0
242,Developed High Intensity,87.4,90.4,92.4,93.5
243,Developed High Intensity,77.4,83.2,87.1,89.3
311,Barren Land (Rock/Sand/Clay) ,77.0,86.0,91.0,94.0
312,Barren Land (Rock/Sand/Clay) ,69.9,80.4,86.6,90.2
313,Barren Land (Rock/Sand/Clay) ,63.3,75.1,82.4,86.6
41,Deciduous Forest,32.0,48.0,57.0,63.0
42,Evergreen Forest,39.0,58.0,73.0,80.0
43,Mixed Forest,46.0,60.0,68.0,74.0
511,Dwarf Scrub,49.0,68.0,79.0,84.0
512,Dwarf Scrub,46.7,65.5,76.6,81.9
513,Dwarf Scrub,44.5,63.1,74.4,79.9
521,Shrub/Scrub,49.0,68.0,79.0,84.0
522,Shrub/Scrub,46.7,65.5,76.6,81.9
523,Shrub/Scrub,44.5,63.1,74.4,79.9
711,Grassland/Herbaceous,64.0,71.0,81.0,89.0
712,Grassland/Herbaceous,59.2,67.9,78.3,86.0
713,Grassland/Herbaceous,54.6,65.1,75.7,83.2
721,Sedge/Herbaceous,49.0,62.0,74.0,85.0
722,Sedge/Herbaceous,46.7,60.5,72.5,82.7
723,Sedge/Herbaceous,44.5,59.0,71.0,80.5
731,Lichens,49.0,62.0,74.0,85.0
732,Lichens,46.7,60.5,72.5,82.7
733,Lichens,44.5,59.0,71.0,80.5
741,Moss,49.0,62.0,74.0,85.0
742,Moss,46.7,60.5,72.5,82.7
743,Moss,44.5,59.0,71.0,80.5
811,Pasture/Hay,44.0,65.0,76.5,82.0
812,Pasture/Hay,42.6,63.0,74.5,80.2
813,Pasture/Hay,41.2,61.0,72.7,78.5
821,Cultivated Crops ,68.5,78.5,85.5,88.8
822,Cultivated Crops ,62.9,74.2,82.0,85.8
823,Cultivated Crops ,57.6,70.1,78.7,83.1
901,Woody Wetlands,88.0,89.0,90.0,91.0
902,Woody Wetlands,88.0,89.0,90.0,91.0
903,Woody Wetlands,88.0,89.0,90.0,91.0
951,Emergent Herbaceous Wetlands,89.0,90.0,91.0,92.0
952,Emergent Herbaceous Wetlands,89.0,90.0,91.0,92.0
953,Emergent Herbaceous Wetlands,89.0,90.0,91.0,92.0
997,SA Food Forest and Gardens,38.5,62.0,74.5,81.0
998,SA Food Forest,32.0,58.0,72.0,79.0
999,SA Gardens,45.0,66.0,77.0,83.0
